School,OP1_5,OP6_10,OP11_15,OP16_20,OP21_25
North Rockhampton State High School,8,11,12,10,0
Northern Beaches State High School,0,5,11,12,0
Northpine Christian College,8,13,13,8,1
Northside Christian College,27,44,16,10,1
Oakey State High School,1,9,6,7,0
Ormeau Woods State High School,6,15,27,13,1
Ormiston College,37,43,30,11,0
Our Lady of the Southern Cross College,6,9,10,8,2
Our Lady's College,3,11,15,10,2
Pacific Lutheran College,7,22,13,16,3
Pacific Pines State High School,8,22,25,8,0
Padua College,20,34,27,22,0
Palm Beach-Currumbin State High School,22,51,69,12,0
Park Ridge State High School,6,8,7,17,2
Parklands Christian College,2,6,11,10,0
Peace Lutheran College,7,6,11,9,0
Peregian Beach College,0,1,2,0,0
Pimlico State High School,33,54,61,50,12
Pine Rivers State High School,17,39,38,18,0
Pioneer State High School,6,6,17,16,9
Pittsworth State High School,7,7,15,13,2
Prince of Peace Lutheran College,11,18,7,7,0
Proserpine State High School,9,19,24,11,0
Ravenshoe State School,0,4,0,2,0
Redbank Plains State High School,2,8,14,23,12
Redcliffe State High School,12,22,22,5,0
Redeemer Lutheran College,20,29,26,15,3
Redlands College,28,51,24,6,0
Redlynch State College,8,16,19,18,6
Rivermount College - Yatala,8,12,11,13,2
Riverside Christian College,3,5,8,3,0
Robina State High School,6,28,28,16,0
Rochedale State High School,9,24,29,22,3
Rockhampton Girls' Grammar School,4,14,8,5,5
Rockhampton State High School,6,5,10,7,0
Roma State College,4,4,6,3,0
Rosedale State School,1,3,2,1,0
Rosewood State High School,4,7,3,5,5
Runcorn State High School,6,17,20,20,3
Ryan Catholic College,14,25,37,15,1
Saint Mary's Catholic College  South Burnett,1,3,5,1,0
Saint Philomena School,2,5,4,2,0
Saint Stephen's College,16,24,24,11,3
San Sisto College,11,22,24,10,1
Sandgate District State High School,11,14,26,23,2
Sarina State High School,0,6,5,5,0
Scots PGC College,9,11,10,11,2
Shailer Park State High School,4,6,17,4,0
Shalom College,28,60,49,26,6
Sheldon College,35,30,28,17,0
Siena Catholic College,23,34,34,14,1
Smithfield State High School,6,14,17,11,2
Somerset College,45,36,26,6,1
Somerville House,50,41,19,10,1
Southern Cross Catholic College,11,14,15,12,6
Southport State High School,10,14,26,7,0
Spinifex State College Mount Isa,8,7,8,9,0
Springfield Central State High School,9,22,16,17,5
Springwood State High School,7,14,12,9,0
St Aidan's Anglican Girls' School,34,30,16,3,0
St Andrew's Anglican College,24,35,23,10,0
St Andrew's Catholic College,24,33,29,18,1
St Andrews Lutheran College,15,16,13,11,0
St Anthony's Catholic College,5,10,9,8,4
St Augustine's College,33,30,32,12,0
St Augustine's College  Springfield,6,16,25,21,6
St Brendan's College,8,14,15,13,0
St Columban's College,14,27,25,7,0
St Edmund's College,21,28,24,12,1
St Eugene College,6,15,14,27,3
St Francis College,3,4,12,10,2
St George State High School,1,3,4,0,0
St Hilda's School,34,30,30,14,0
St James College,4,1,9,11,7
St James Lutheran College,2,1,4,3,0
